FECHA,PRECIP,EVAP,TMAX,TMIN,HUMEDAD_RELATIVA
17/09/1925,  62.5,  Nulo, 22  ,8 ,
18/09/1925,  7.7 ,  Nulo ,19,  12 ,
19/09/1925,  0,  Nulo ,15,  11 ,
20/09/1925,  5.7 ,  Nulo ,21.5 ,  16 ,
21/09/1925,  0,  Nulo, 21  ,16.5 ,
22/09/1925,  0,  Nulo ,20.5 ,  11 ,
23/09/1925,  0,  Nulo ,21.5 ,  13 ,
24/09/1925,  35  ,  Nulo ,19,  14 ,
25/09/1925,  2.5 ,  Nulo, 21  ,13.6 ,
26/09/1925,  7.5 ,  Nulo, 18.5,11.2 ,
27/09/1925,  30  ,  Nulo, 17  ,9 ,
28/09/1925,  8,  Nulo, 19  ,11.2 ,
29/09/1925,  0,  Nulo, 18.5,11.8 ,
30/09/1925,  1,  Nulo, 17.5,9 ,
01/10/1925,  22.5,  Nulo  ,  19 , 8.6 ,
02/10/1925,  13.7,  Nulo, 19  ,9 ,
03/10/1925,  8.7 ,  Nulo, 20.5,11.2 ,
04/10/1925,  0,  Nulo, 18  ,9 ,
05/10/1925,  0,  Nulo ,20,  10 ,
06/10/1925,  0,  Nulo ,20,  10 ,
07/10/1925,  2.7 ,  Nulo, 21  ,8 ,
08/10/1925,  0,  Nulo  ,  22 , 8.5 ,
09/10/1925,  26.7,  Nulo  ,  21.5  , 7.5 ,
10/10/1925,  0,  Nulo, 20  ,8 ,
11/10/1925,  0,  Nulo, 20.5,7 ,
12/10/1925,  0,  Nulo, 20  ,8 ,
13/10/1925,  0,  Nulo  ,  20 , 8.5 ,
14/10/1925,  0,  Nulo ,21,  11 ,
15/10/1925,  0,  Nulo ,22.2 ,  12 ,
16/10/1925,  5.5 ,  Nulo ,22,  14 ,
17/10/1925,  0,  Nulo, 23  ,10.5 ,
18/10/1925,  50  ,  Nulo ,22,  10 ,
19/10/1925,  88.7,  Nulo, 23.5,10.5 ,
20/10/1925,  0,  Nulo ,20,  13 ,
21/10/1925,  0,  Nulo, 16  ,10.2 ,
22/10/1925,  0,  Nulo ,17.5 ,  10 ,
23/10/1925,  0,  Nulo, 18.5,9 ,
24/10/1925,  0,  Nulo, 22.5,13.5 ,
25/10/1925,  6.2 ,  Nulo ,23,  13 ,
26/10/1925,  5,  Nulo ,23,  13 ,
27/10/1925,  56  ,  Nulo ,23,  11 ,
28/10/1925,  0,  Nulo, 18.5,12.5 ,
29/10/1925,  10.7,  Nulo, 19  ,13.5 ,
30/10/1925,  0,  Nulo, 19  ,9 ,
31/10/1925,  0,  Nulo, 18.6,9 ,
01/11/1925,  0,  Nulo  ,  20 , 7.5 ,
02/11/1925,  0,  Nulo, 21  ,7 ,
03/11/1925,  0,  Nulo  ,  20.5  , 7.5 ,
04/11/1925,  0,  Nulo  ,  20 , 9.5 ,
05/11/1925,  0,  Nulo, 21.5,8 ,
06/11/1925,  0,  Nulo, 20  ,9 ,
